#  time               r              phi             Phi             Pi            delta              A            Ricci
0.0000000000    0.1413716694    0.7231890454   -3.3603142184    0.0000000000   -0.0689927647    0.9485001103    8.9951173223
0.0000000000    0.2827433388    0.2591123126   -2.6122586013    0.0000000000   -0.3757244520    0.7876731651   -2.0867392950
0.0000000000    0.4241150082    0.0383160602   -0.6664753044    0.0000000000   -0.4944456476    0.8112411410  -11.4013551407
0.0000000000    0.5654866776    0.0015902462   -0.0453007410    0.0000000000   -0.4999526606    0.8816435036  -11.9974203789
0.0000000000    0.7068583471    0.0000085356   -0.0004034536    0.0000000000   -0.4999702379    0.9286594753  -11.9999998252
0.0000000000    0.8482300165    0.0000000011   -0.0000000953    0.0000000000   -0.4999702388    0.9593708679  -12.0000000000
0.0000000000    0.9896016859    0.0000000000   -0.0000000000    0.0000000000   -0.4999702388    0.9791354431  -12.0000000000
0.0000000000    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -0.4999702388    0.9910105690  -12.0000000000
0.0000000000    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -0.4999702388    0.9971971426  -12.0000000000
0.0000000000    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -0.4999702388    0.9995915663  -12.0000000000
