#     r             phi             Phi             Pi             Ricci
0.0000000000    0.0167893658    0.0000000000    0.0171268084  -11.9994591239
0.0157079633    0.0158810691   -0.2721448859    0.0171268084  -11.8514912596
0.0314159265    0.0082680538   -0.1909500676    0.0171268084  -11.9274624422
0.0471238898    0.0099380165   -0.0285977968    0.0153409940  -11.9984425785
0.0628318531    0.0074510894   -0.0466619680    0.0155614116  -11.9959228905
0.0785398163    0.0085765697   -0.0094754877    0.0170723960  -12.0001066442
0.0942477796    0.0072775817   -0.0188588541    0.0172671494  -11.9996741634
0.1099557429    0.0081240617   -0.0025171271    0.0163458633  -12.0002514126
0.1256637061    0.0073499255   -0.0087478600    0.0166503698  -12.0001790238
0.1413716694    0.0080075450    0.0000055424    0.0177680004  -12.0003623785
0.1570796327    0.0075106354   -0.0035004027    0.0182443964  -12.0003998737
0.1727875959    0.0080557901    0.0025582242    0.0178741657  -12.0003477924
0.1884955592    0.0077426120    0.0000445235    0.0183658269  -12.0004111177
0.2042035225    0.0081983283    0.0041095239    0.0194292414  -12.0004226983
0.2199114858    0.0079990771    0.0025711801    0.0202873063  -12.0005154363
0.2356194490    0.0083900301    0.0061129825    0.0203866886  -12.0004336912
0.2513274123    0.0082836828    0.0052683083    0.0212735506  -12.0005225835
0.2670353756    0.0086285666    0.0081246684    0.0225105040  -12.0005222317
0.2827433388    0.0085920179    0.0076066376    0.0240143348  -12.0006615810
0.2984513021    0.0089010191    0.0105329707    0.0247217181  -12.0005970125
0.3141592654    0.0089377922    0.0108443390    0.0264047652  -12.0007289692
0.3298672286    0.0092395378    0.0137865279    0.0280850458  -12.0007302661
0.3455751919    0.0093537446    0.0141710669    0.0306830571  -12.0009612893
0.3612831552    0.0096549517    0.0174451049    0.0323689608  -12.0009281481
0.3769911184    0.0098619805    0.0189320711    0.0354216645  -12.0011605283
0.3926990817    0.0102025232    0.0227434733    0.0379719334  -12.0011619536
0.4084070450    0.0105245142    0.0243370834    0.0421052303  -12.0015455276
0.4241150082    0.0109127816    0.0285026284    0.0453294207  -12.0015874423
0.4398229715    0.0113654762    0.0313823505    0.0500894541  -12.0019786910
0.4555309348    0.0118459042    0.0361887395    0.0540359916  -12.0020356313
0.4712388980    0.0124527691    0.0393797403    0.0594949234  -12.0025372248
0.4869468613    0.0130377124    0.0440770357    0.0645962756  -12.0028028008
0.5026548246    0.0137971258    0.0482361726    0.0702636398  -12.0032466722
0.5183627878    0.0145180678    0.0527973071    0.0756484007  -12.0035850785
0.5340707511    0.0154261560    0.0571835942    0.0807189832  -12.0038559202
0.5497787144    0.0162900722    0.0605252499    0.0867769371  -12.0045590751
0.5654866776    0.0173079166    0.0645658721    0.0907156092  -12.0045888449
0.5811946409    0.0183030185    0.0661146866    0.0958926598  -12.0053969404
0.5969026042    0.0193731673    0.0693009870    0.0973588535  -12.0048926649
0.6126105675    0.0204713993    0.0683010467    0.1011344747  -12.0057665453
0.6283185307    0.0215125690    0.0689291643    0.0996865350  -12.0049327845
0.6440264940    0.0226324274    0.0646142525    0.1006374682  -12.0055588129
0.6597344573    0.0235394640    0.0622969700    0.0954509359  -12.0043086371
