#  time               r              phi             Phi             Pi            delta              A            Ricci
0.0000000000    0.1413716694    1.8079726135   -8.4007855459    0.0000000000   -0.4312469956    0.7010078311   98.0554232726
0.0000000000    0.2827433388    0.6477807816   -6.5306465031    0.0000000000   -2.3484414210    0.2839801563   12.0161815640
0.0000000000    0.4241150082    0.0957901505   -1.6661882611    0.0000000000   -3.0904327190    0.4185335544  -10.0329757484
0.0000000000    0.5654866776    0.0039756154   -0.1132518526    0.0000000000   -3.1248437166    0.6338837935  -11.9883449325
0.0000000000    0.7068583471    0.0000213391   -0.0010086339    0.0000000000   -3.1249534904    0.7793045603  -11.9999990813
0.0000000000    0.8482300165    0.0000000029   -0.0000002382    0.0000000000   -3.1249534960    0.8743117706  -12.0000000000
0.0000000000    0.9896016859    0.0000000000   -0.0000000000    0.0000000000   -3.1249534960    0.9354544613  -12.0000000000
0.0000000000    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1249534960    0.9721907506  -12.0000000000
0.0000000000    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1249534960    0.9913292220  -12.0000000000
0.0000000000    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1249534960    0.9987364901  -12.0000000000
0.0196349541    0.1413716694    1.8078999938   -8.4008957385   -0.1561171841   -0.4315399097    0.7008885066   98.0069222070
0.0196349541    0.2827433388    0.6475118571   -6.5329892913   -0.2097897290   -2.3504248267    0.2837130263   11.9867609081
0.0196349541    0.4241150082    0.0959674059   -1.6610706780    0.0446219884   -3.0922376535    0.4186261251  -10.0456397126
0.0196349541    0.5654866776    0.0041378128   -0.1156529694    0.0260586548   -3.1267080394    0.6338944471  -11.9884564484
0.0196349541    0.7068583471    0.0000259594   -0.0011771813    0.0006151867   -3.1268325414    0.7793045669  -11.9999990895
0.0196349541    0.8482300165    0.0000000058   -0.0000004462    0.0000003750   -3.1268325517    0.8743117721  -12.0000000000
0.0196349541    0.9896016859    0.0000000000   -0.0000000000    0.0000000000   -3.1268325517    0.9354544621  -12.0000000000
0.0196349541    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1268325517    0.9721907510  -12.0000000000
0.0196349541    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1268325517    0.9913292221  -12.0000000000
0.0196349541    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1268325517    0.9987364901  -12.0000000000
0.0392699082    0.1413716694    1.8076831185   -8.4012263739   -0.3117415225   -0.4324146531    0.7005322609   97.8621592615
0.0392699082    0.2827433388    0.6467061447   -6.5400284350   -0.4197803113   -2.3563689725    0.2829136213   11.8987630848
0.0392699082    0.4241150082    0.0964980046   -1.6458907151    0.0889025604   -3.0976489518    0.4189016557  -10.0830190362
0.0392699082    0.5654866776    0.0046238776   -0.1227573502    0.0520279937   -3.1322928352    0.6339277020  -11.9887407855
0.0392699082    0.7068583471    0.0000408621   -0.0017055152    0.0013668262   -3.1324631360    0.7793045917  -11.9999990555
0.0392699082    0.8482300165    0.0000000186   -0.0000013118    0.0000012599   -3.1324631662    0.8743117768  -12.0000000000
0.0392699082    0.9896016859    0.0000000000   -0.0000000000    0.0000000000   -3.1324631662    0.9354544645  -12.0000000000
0.0392699082    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1324631662    0.9721907520  -12.0000000000
0.0392699082    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1324631662    0.9913292224  -12.0000000000
0.0392699082    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1324631662    0.9987364902  -12.0000000000
0.0589048623    0.1413716694    1.8073249276   -8.4017775394   -0.4663799578   -0.4338592781    0.6999442515   97.6233420198
0.0589048623    0.2827433388    0.6453668748   -6.5517956126   -0.6301652479   -2.3662553223    0.2815879194   11.7529813360
0.0589048623    0.4241150082    0.0973782478   -1.6211597248    0.1324619631   -3.1066557921    0.4193536193  -10.1433157214
0.0589048623    0.5654866776    0.0054320955   -0.1342746779    0.0778024423   -3.1415734675    0.6339873266  -11.9890561275
0.0589048623    0.7068583471    0.0000692025   -0.0026600394    0.0023951818   -3.1418252909    0.7793046533  -11.9999987742
0.0589048623    0.8482300165    0.0000000572   -0.0000037194    0.0000035975   -3.1418253783    0.8743117847  -12.0000000000
0.0589048623    0.9896016859    0.0000000000   -0.0000000000    0.0000000000   -3.1418253783    0.9354544685  -12.0000000000
0.0589048623    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1418253783    0.9721907537  -12.0000000000
0.0589048623    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1418253783    0.9913292229  -12.0000000000
0.0589048623    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1418253783    0.9987364903  -12.0000000000
0.0785398163    0.1413716694    1.8068302418   -8.4025491714   -0.6195507335   -0.4358542067    0.6991329185   97.2940776270
0.0785398163    0.2827433388    0.6434994270   -6.5683428321   -0.8411390662   -2.3800531012    0.2797457980   11.5507228025
0.0785398163    0.4241150082    0.0986014499   -1.5877035729    0.1748537512   -3.1192401606    0.4199712644  -10.2236703018
0.0785398163    0.5654866776    0.0065592796   -0.1497437800    0.1032480481   -3.1545095846    0.6340792339  -11.9891934441
0.0785398163    0.7068583471    0.0001163276   -0.0041459766    0.0038465034   -3.1548858018    0.7793047965  -11.9999977888
0.0785398163    0.8482300165    0.0000001614   -0.0000097065    0.0000093683   -3.1548860369    0.8743117957  -12.0000000000
0.0785398163    0.9896016859    0.0000000000   -0.0000000002    0.0000000002   -3.1548860369    0.9354544742  -12.0000000000
0.0785398163    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1548860369    0.9721907562  -12.0000000000
0.0785398163    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1548860369    0.9913292237  -12.0000000000
0.0785398163    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1548860369    0.9987364904  -12.0000000000
0.0981747704    0.1413716694    1.8062056310   -8.4035407865   -0.7707887907   -0.4383727793    0.6981097313   96.8792578070
0.0981747704    0.2827433388    0.6411112640   -6.5897417721   -1.0528977579   -2.3977199066    0.2774008488   11.2937801476
0.0981747704    0.4241150082    0.1001572853   -1.5466224180    0.2155469109   -3.1353771488    0.4207398691  -10.3203599410
0.0981747704    0.5654866776    0.0080003586   -0.1685646169    0.1281934374   -3.1710465291    0.6342109570  -11.9889106963
0.0981747704    0.7068583471    0.0001898660   -0.0062993557    0.0058722228   -3.1715987930    0.7793051181  -11.9999951705
0.0981747704    0.8482300165    0.0000004205   -0.0000234074    0.0000225255   -3.1715993796    0.8743118099  -12.0000000000
0.0981747704    0.9896016859    0.0000000000   -0.0000000010    0.0000000010   -3.1715993796    0.9354544815  -12.0000000000
0.0981747704    1.1309733553    0.0000000000   -0.0000000000    0.0000000000   -3.1715993796    0.9721907593  -12.0000000000
0.0981747704    1.2723450247    0.0000000000   -0.0000000000    0.0000000000   -3.1715993796    0.9913292247  -12.0000000000
0.0981747704    1.4137166941    0.0000000000   -0.0000000000    0.0000000000   -3.1715993796    0.9987364905  -12.0000000000
0.1178097245    0.1413716694    1.8054592378   -8.4047511440   -0.9196507894   -0.4413819850    0.6968888534   96.3849066153
0.1178097245    0.2827433388    0.6382118399   -6.6160828597   -1.2656391355   -2.4192025319    0.2745701277   10.9843933628
